id,left,top,right,bottom,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4
"174",27.648003343,43.190482027,27.649003343,43.190982027,,,,
"175",27.648003343,43.189982027,27.649003343,43.190482027,,,,
"176",27.648003343,43.189482027,27.649003343,43.189982027,"204","149","32","255"
"177",27.648003343,43.188982027,27.649003343,43.189482027,"255","217","72","255"
"178",27.648003343,43.188482027,27.649003343,43.188982027,"236","150","29","255"
"179",27.648003343,43.187982027,27.649003343,43.188482027,,,,
"180",27.648003343,43.187482027,27.649003343,43.187982027,"145","57","45","255"
"181",27.648003343,43.186982027,27.649003343,43.187482027,"194","23","16","255"
"182",27.648003343,43.186482027,27.649003343,43.186982027,"232",,"18","255"
"183",27.648003343,43.185982027,27.649003343,43.186482027,"183","66","57","255"
"184",27.648003343,43.185482027,27.649003343,43.185982027,"118","118","80","255"
"185",27.648003343,43.184982027,27.649003343,43.185482027,,,,
"186",27.648003343,43.184482027,27.649003343,43.184982027,,,,
"187",27.648003343,43.183982027,27.649003343,43.184482027,,,,
"188",27.648003343,43.183482027,27.649003343,43.183982027,,,,
"189",27.648003343,43.182982027,27.649003343,43.183482027,,,,
"190",27.648003343,43.182482027,27.649003343,43.182982027,,,,
"191",27.648003343,43.181982027,27.649003343,43.182482027,,,,
"192",27.648003343,43.181482027,27.649003343,43.181982027,,,,
"193",27.648003343,43.180982027,27.649003343,43.181482027,,,,
"194",27.648003343,43.180482027,27.649003343,43.180982027,,,,
"195",27.648003343,43.179982027,27.649003343,43.180482027,,,,
"196",27.648003343,43.179482027,27.649003343,43.179982027,,,,
"197",27.648003343,43.178982027,27.649003343,43.179482027,,,,
"198",27.648003343,43.178482027,27.649003343,43.178982027,,,,
"199",27.649003343,43.210982027,27.650003343,43.211482027,,,,
"200",27.649003343,43.210482027,27.650003343,43.210982027,,,,
"201",27.649003343,43.209982027,27.650003343,43.210482027,,,,
"202",27.649003343,43.209482027,27.650003343,43.209982027,,,,
"203",27.649003343,43.208982027,27.650003343,43.209482027,,,,
"204",27.649003343,43.208482027,27.650003343,43.208982027,,,,
"205",27.649003343,43.207982027,27.650003343,43.208482027,,,,
"206",27.649003343,43.207482027,27.650003343,43.207982027,,,,
"207",27.649003343,43.206982027,27.650003343,43.207482027,,,,
"208",27.649003343,43.206482027,27.650003343,43.206982027,,,,
"209",27.649003343,43.205982027,27.650003343,43.206482027,,,,
"210",27.649003343,43.205482027,27.650003343,43.205982027,,,,
"211",27.649003343,43.204982027,27.650003343,43.205482027,,,,
"212",27.649003343,43.204482027,27.650003343,43.204982027,,,,
